country,year,D1,D2,total_respondents,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,refused,dont_know
ES,2010.0,-0.104197372149031,0.02134722567985504,1005.0,66.0,34.0,93.0,107.0,302.0,75.0,56.0,29.0,6.0,29.0,99.0,109.0
ES,2012.0,-0.07279282532130449,-0.10456279663217172,1011.0,75.0,39.0,107.0,87.0,261.0,49.0,57.0,49.0,10.0,30.0,139.0,108.0
ES,2014.0,-0.02621188696122729,-0.1643824132451183,1011.0,86.0,36.0,142.0,122.0,322.0,45.0,40.0,16.0,8.0,17.0,105.0,72.0
ES,2015.0,-0.15396024044910503,0.14439160178075508,1032.0,108.0,40.0,167.0,103.0,312.0,40.0,44.0,24.0,3.0,17.0,101.0,73.0
ES,2016.0,-0.07957929019020657,0.0847440266350767,1009.0,77.0,46.0,140.0,111.0,302.0,51.0,55.0,34.0,9.0,40.0,67.0,77.0
ES,2017.0,-0.11078976837860065,0.12129698155396526,1009.0,59.0,46.0,151.0,99.0,305.0,57.0,45.0,41.0,8.0,18.0,126.0,54.0
ES,2019.0,-0.06954979405077331,0.10524733369419713,1005.0,66.0,73.0,158.0,96.0,287.0,61.0,56.0,38.0,7.0,29.0,62.0,72.0
ES,2020.0,-0.061059585299479364,0.13113838169931147,1003.0,72.0,52.0,135.0,107.0,332.0,72.0,47.0,38.0,8.0,17.0,79.0,44.0
ES,2020.5,0.002051807012600734,0.09096119222845463,1016.0,44.0,63.0,144.0,123.0,266.0,86.0,87.0,43.0,12.0,23.0,85.0,40.0
ES,2021.0,-0.03493780604582757,0.05235023699400282,1008.0,48.0,46.0,123.0,104.0,282.0,85.0,74.0,51.0,8.0,18.0,107.0,62.0
ES,2021.5,-0.027540352298356486,0.12704211608710894,1007.0,46.0,51.0,157.0,132.0,287.0,78.0,56.0,44.0,19.0,11.0,84.0,42.0
ES,2022.0,-0.05150073792930685,0.10383985481834569,1018.0,61.0,60.0,145.0,110.0,299.0,70.0,68.0,33.0,7.0,22.0,89.0,54.0
ES,2023.0,0.024645183264216157,-0.05315083748192053,1009.0,53.0,56.0,151.0,132.0,230.0,56.0,64.0,58.0,17.0,41.0,102.0,49.0
ES,2024.5,-0.018303900026246784,0.06478257484187425,1001.0,45.0,33.0,98.0,140.0,289.0,103.0,81.0,47.0,6.0,23.0,70.0,66.0
ES,2025.0,-0.025073237514503507,0.062321078349817004,1001.0,41.0,26.0,100.0,148.0,287.0,91.0,83.0,46.0,8.0,22.0,85.0,64.0
FI,2007.0,0.10274931533472818,0.04174805360863264,1034.0,9.0,16.0,75.0,130.0,233.0,167.0,120.0,134.0,35.0,20.0,31.0,64.0
FI,2010.0,0.11273344029318587,-0.07688621339455763,1004.0,10.0,28.0,63.0,97.0,190.0,186.0,118.0,119.0,28.0,13.0,74.0,78.0
FI,2012.0,0.0530807859587712,0.07844092314060125,1009.0,16.0,25.0,74.0,113.0,210.0,189.0,136.0,94.0,24.0,9.0,39.0,80.0
FI,2014.0,0.05416490132741232,0.04646464848401766,1009.0,27.0,34.0,77.0,102.0,208.0,165.0,137.0,102.0,22.0,16.0,35.0,84.0
FI,2015.0,0.0945565112586147,0.06900108413399068,1010.0,22.0,24.0,84.0,117.0,233.0,153.0,156.0,97.0,36.0,13.0,29.0,46.0
FI,2016.0,0.11493981116010304,0.049695297078817646,1000.0,23.0,32.0,80.0,101.0,227.0,168.0,151.0,106.0,28.0,20.0,32.0,32.0
FI,2017.0,0.08247584770290554,0.02345879305881455,1011.0,20.0,30.0,58.0,109.0,231.0,139.0,156.0,117.0,22.0,32.0,28.0,69.0
FI,2019.0,0.07442813484535571,0.09773678465009569,1011.0,24.0,27.0,56.0,127.0,266.0,151.0,131.0,117.0,27.0,13.0,13.0,59.0
FI,2020.0,0.2199718562560023,0.0710888956978562,1096.0,25.0,55.0,144.0,118.0,185.0,146.0,181.0,150.0,40.0,37.0,3.0,12.0
FI,2020.5,0.24112716848083077,0.04592735988442577,1016.0,21.0,52.0,108.0,97.0,184.0,135.0,163.0,163.0,54.0,30.0,4.0,5.0
FI,2021.0,0.1838274300229149,0.013411933877752665,1075.0,32.0,43.0,112.0,109.0,191.0,141.0,138.0,154.0,70.0,42.0,16.0,27.0
FI,2021.5,0.15799920356233402,-0.01500407461376481,1004.0,29.0,41.0,89.0,78.0,193.0,137.0,130.0,137.0,64.0,48.0,15.0,43.0
FI,2022.0,0.09592026078915483,0.026990131897861296,1008.0,24.0,25.0,67.0,88.0,254.0,147.0,129.0,113.0,49.0,30.0,14.0,68.0
FI,2023.0,0.12365957933992162,0.04280507425739105,1003.0,27.0,35.0,97.0,94.0,224.0,124.0,146.0,128.0,43.0,25.0,17.0,43.0
FI,2024.5,0.13285210865163352,0.03491065513301203,1008.0,30.0,57.0,96.0,125.0,177.0,140.0,119.0,120.0,35.0,42.0,15.0,52.0
FI,2025.0,0.15656004974546797,0.0377082103988895,1009.0,36.0,33.0,82.0,123.0,194.0,131.0,136.0,162.0,36.0,19.0,12.0,45.0
FR,2007.0,0.0385190486438997,0.04802632886665986,1035.0,41.0,42.0,135.0,103.0,242.0,110.0,129.0,77.0,19.0,30.0,43.0,64.0
FR,2010.0,-0.10201848361324661,0.04437779616410791,1000.0,35.0,53.0,135.0,110.0,236.0,66.0,66.0,53.0,13.0,14.0,73.0,146.0
FR,2012.0,-0.025616495322853088,0.027696137681595276,1008.0,64.0,44.0,139.0,106.0,237.0,79.0,85.0,57.0,10.0,38.0,55.0,94.0
FR,2014.0,-0.08729940189160003,0.030822224730027978,1011.0,51.0,37.0,123.0,110.0,257.0,71.0,79.0,35.0,7.0,47.0,49.0,145.0
FR,2015.0,-0.06525676839066351,0.014356422899621786,1032.0,46.0,34.0,111.0,89.0,277.0,77.0,83.0,60.0,11.0,69.0,33.0,142.0
FR,2016.0,-0.056998617882482894,-0.0003211413322701601,1026.0,46.0,33.0,107.0,96.0,274.0,75.0,85.0,54.0,19.0,51.0,52.0,134.0
FR,2017.0,-0.05826663146064473,0.02543589000297796,1017.0,63.0,47.0,114.0,100.0,291.0,69.0,68.0,45.0,12.0,46.0,52.0,110.0
FR,2019.0,-0.061210138470169394,0.053531978211807996,1018.0,44.0,47.0,125.0,117.0,285.0,84.0,63.0,38.0,14.0,38.0,43.0,120.0
FR,2020.0,-0.08189430156385065,0.06313053709127374,1002.0,35.0,37.0,104.0,99.0,313.0,93.0,62.0,48.0,7.0,29.0,33.0,142.0
FR,2020.5,-0.10863215085909166,0.060064924305093324,1019.0,34.0,48.0,115.0,79.0,296.0,84.0,76.0,42.0,12.0,32.0,27.0,174.0
FR,2021.0,-0.08231529627814398,0.04455541250214605,1007.0,38.0,35.0,127.0,81.0,293.0,60.0,80.0,64.0,13.0,43.0,28.0,145.0
FR,2021.5,-0.07601822627875694,0.03649678206104374,1013.0,51.0,41.0,125.0,77.0,264.0,105.0,63.0,50.0,19.0,34.0,33.0,151.0
FR,2022.0,-0.06414715158132933,0.024524159521794785,1002.0,39.0,37.0,110.0,92.0,255.0,90.0,85.0,53.0,15.0,40.0,36.0,150.0
FR,2023.0,-0.06278002143965837,0.008936205329553578,1003.0,42.0,55.0,101.0,97.0,258.0,68.0,81.0,48.0,28.0,42.0,45.0,138.0
FR,2024.5,-0.03757498205477398,-0.0153879699061543,1001.0,36.0,33.0,119.0,101.0,221.0,87.0,84.0,51.0,29.0,59.0,57.0,124.0
FR,2025.0,-0.03662509488067333,-0.005720366945998998,1005.0,36.0,42.0,101.0,98.0,232.0,87.0,82.0,68.0,27.0,61.0,38.0,133.0
HR,2007.0,-0.07311883028559071,-0.07869290303634742,1001.0,74.0,25.0,77.0,72.0,232.0,91.0,47.0,70.0,25.0,70.0,72.0,146.0
HR,2014.0,-0.02161087120929683,-0.10428264165751955,1009.0,62.0,40.0,87.0,72.0,244.0,75.0,81.0,41.0,25.0,86.0,118.0,78.0
HR,2015.0,0.030521055796306353,-0.06024224132052238,1059.0,51.0,38.0,83.0,105.0,206.0,93.0,115.0,100.0,30.0,81.0,75.0,82.0
HR,2016.0,0.0034028434901365126,-0.01602858550485554,1006.0,39.0,32.0,90.0,123.0,257.0,86.0,82.0,71.0,23.0,58.0,74.0,71.0
HR,2017.0,0.011813183092073564,-0.0013515258383155905,1018.0,49.0,37.0,98.0,113.0,286.0,91.0,77.0,59.0,32.0,50.0,73.0,53.0
HR,2019.0,0.021137096476717965,0.005634905183389537,1015.0,51.0,44.0,87.0,104.0,286.0,91.0,77.0,63.0,30.0,89.0,29.0,64.0
HR,2020.0,0.12248418699599395,0.02232213749587976,1019.0,30.0,24.0,74.0,106.0,339.0,123.0,97.0,85.0,37.0,63.0,26.0,15.0
HR,2020.5,0.10167036302739135,0.002040944999646538,1029.0,57.0,32.0,70.0,86.0,307.0,127.0,110.0,92.0,31.0,61.0,34.0,22.0
HR,2021.0,0.16028237774354678,-0.00782291742985428,1040.0,59.0,28.0,88.0,89.0,310.0,159.0,89.0,59.0,47.0,82.0,17.0,13.0
HR,2021.5,0.11053352949021909,-0.02783495855235737,1007.0,51.0,36.0,74.0,99.0,298.0,120.0,80.0,66.0,30.0,95.0,39.0,19.0
HR,2022.0,0.11972806795980094,-0.050905992332165834,1008.0,54.0,25.0,49.0,81.0,274.0,149.0,94.0,94.0,41.0,80.0,44.0,23.0
HR,2023.0,0.08072125259735709,-0.033482200876356616,1034.0,62.0,25.0,72.0,95.0,318.0,125.0,82.0,52.0,46.0,82.0,44.0,31.0
HR,2024.5,0.14209802567618848,-0.07923609474370662,1004.0,65.0,16.0,46.0,113.0,200.0,156.0,99.0,104.0,24.0,112.0,32.0,37.0
HR,2025.0,0.16300446709493313,-0.034704424568388785,1012.0,57.0,23.0,65.0,119.0,253.0,142.0,96.0,79.0,28.0,115.0,15.0,20.0
HU,2007.0,-0.038459668853796584,-0.10780947859188589,1000.0,34.0,17.0,56.0,73.0,254.0,68.0,95.0,82.0,20.0,74.0,125.0,102.0
HU,2010.0,0.03115877405895408,-0.14692952477511262,1014.0,29.0,12.0,40.0,74.0,241.0,117.0,95.0,84.0,28.0,80.0,152.0,62.0
HU,2012.0,-0.0226078831411547,-0.1159073065823622,1006.0,47.0,20.0,57.0,68.0,221.0,118.0,95.0,50.0,25.0,77.0,130.0,98.0
HU,2014.0,-0.006030433922399567,-0.15004601510946783,1056.0,49.0,15.0,39.0,49.0,297.0,104.0,89.0,77.0,27.0,97.0,142.0,71.0
HU,2015.0,0.031179207662260976,-0.087492518784681,1079.0,39.0,23.0,77.0,70.0,316.0,105.0,96.0,88.0,19.0,88.0,112.0,46.0
HU,2016.0,-0.01026411805676517,-0.13647658629527526,1029.0,19.0,25.0,48.0,45.0,291.0,95.0,101.0,92.0,29.0,54.0,150.0,80.0
HU,2017.0,0.02023686790064217,-0.11986260527545488,1049.0,37.0,28.0,45.0,57.0,271.0,110.0,100.0,98.0,35.0,73.0,129.0,66.0
HU,2019.0,0.09468417394896912,-0.051340642568780986,1028.0,43.0,24.0,72.0,83.0,247.0,124.0,94.0,104.0,60.0,93.0,33.0,51.0
HU,2020.0,0.17479128459493187,-0.015078858589356267,1072.0,21.0,18.0,74.0,98.0,296.0,178.0,120.0,117.0,49.0,61.0,30.0,10.0
HU,2020.5,0.15535053977852642,-0.034406196234433535,1045.0,29.0,27.0,67.0,80.0,284.0,189.0,96.0,120.0,43.0,51.0,47.0,12.0
HU,2021.0,0.1976426324878813,-0.05187969764095076,1018.0,18.0,18.0,61.0,90.0,200.0,220.0,117.0,123.0,53.0,72.0,32.0,14.0
HU,2021.5,0.16660576640640795,-0.06287482905983373,1025.0,28.0,22.0,58.0,86.0,201.0,170.0,132.0,133.0,49.0,82.0,45.0,19.0
HU,2022.0,0.13134247653958203,-0.03704587666145058,1043.0,26.0,34.0,80.0,81.0,217.0,207.0,113.0,108.0,38.0,52.0,58.0,29.0
HU,2023.0,0.12341960791721256,-0.09358802872555108,1019.0,34.0,18.0,69.0,99.0,192.0,131.0,99.0,119.0,54.0,98.0,72.0,34.0
HU,2024.5,0.12970511760680545,0.0046800760547597445,1015.0,18.0,20.0,82.0,101.0,252.0,176.0,143.0,77.0,28.0,55.0,41.0,22.0
HU,2025.0,0.0976333536335663,-0.011970660851775651,1011.0,14.0,35.0,97.0,92.0,228.0,152.0,142.0,78.0,24.0,39.0,77.0,33.0
IE,2007.0,-0.11247971994827302,0.0555653822174454,1008.0,21.0,24.0,42.0,77.0,287.0,139.0,101.0,71.0,22.0,32.0,21.0,171.0
IE,2010.0,-0.15924886333740887,0.03867156120445318,973.0,23.0,16.0,47.0,65.0,274.0,146.0,78.0,39.0,14.0,23.0,40.0,208.0
IE,2012.0,-0.059811632621885755,0.07953563280393715,1008.0,29.0,36.0,69.0,102.0,347.0,118.0,75.0,50.0,14.0,22.0,27.0,119.0
IE,2014.0,-0.1200173570047466,0.0835058925783386,1004.0,30.0,29.0,65.0,72.0,354.0,104.0,73.0,50.0,21.0,25.0,14.0,167.0
IE,2015.0,-0.09782500540893523,0.13540598479162572,1016.0,31.0,19.0,59.0,95.0,401.0,143.0,65.0,31.0,12.0,29.0,13.0,118.0
IE,2016.0,-0.08923082652801564,0.1358014056451499,1013.0,26.0,32.0,67.0,76.0,435.0,114.0,68.0,44.0,13.0,16.0,17.0,105.0
IE,2017.0,-0.10680072716694096,0.10105447450812546,1004.0,28.0,16.0,38.0,60.0,391.0,121.0,76.0,84.0,31.0,26.0,19.0,114.0
IE,2019.0,-0.07280687146702829,0.13921658121097188,1015.0,29.0,31.0,76.0,108.0,430.0,109.0,61.0,29.0,5.0,16.0,59.0,62.0
IE,2020.0,0.1076320199358995,0.1735088852377831,1017.0,41.0,37.0,137.0,161.0,281.0,155.0,89.0,49.0,18.0,35.0,2.0,12.0
IE,2020.5,0.1254473406174036,0.22307950215099231,1026.0,42.0,61.0,160.0,176.0,280.0,145.0,91.0,45.0,9.0,14.0,0.0,3.0
IE,2021.0,-0.03301866604825028,0.22206512009858517,1005.0,12.0,31.0,73.0,85.0,484.0,139.0,79.0,31.0,11.0,14.0,4.0,42.0
IE,2021.5,-0.0543276088142381,0.2188062095251538,1012.0,16.0,13.0,69.0,105.0,509.0,116.0,72.0,31.0,6.0,26.0,7.0,42.0
IE,2022.0,-0.059404152891789956,0.2031398660876916,1007.0,18.0,12.0,55.0,120.0,480.0,133.0,61.0,35.0,13.0,16.0,12.0,52.0
IE,2023.0,-0.1160250403366317,0.1873753230948785,1016.0,19.0,16.0,50.0,91.0,490.0,132.0,49.0,28.0,14.0,19.0,8.0,100.0
IE,2024.5,-0.042463764627425016,0.2082969087624893,1005.0,11.0,23.0,73.0,106.0,453.0,136.0,86.0,37.0,5.0,9.0,6.0,60.0
IE,2025.0,-0.02999379919259102,0.20292515887586324,1007.0,19.0,15.0,64.0,129.0,447.0,131.0,83.0,44.0,7.0,10.0,7.0,51.0
IT,2007.0,0.0009480790562005042,-0.1798378835511804,1045.0,65.0,52.0,86.0,97.0,162.0,74.0,84.0,49.0,27.0,55.0,204.0,90.0
IT,2010.0,0.07373114527481857,-0.22545386507438642,1038.0,48.0,41.0,81.0,97.0,108.0,105.0,114.0,62.0,15.0,31.0,271.0,65.0
IT,2012.0,0.020386820528561497,-0.24942383876845173,1012.0,69.0,39.0,76.0,78.0,108.0,99.0,66.0,48.0,15.0,52.0,278.0,84.0
IT,2014.0,0.020527349999599525,-0.20564777204939272,1009.0,34.0,54.0,100.0,84.0,125.0,113.0,68.0,67.0,12.0,24.0,218.0,110.0
IT,2015.0,0.0666791242277204,-0.16218902353884396,1014.0,31.0,40.0,72.0,102.0,136.0,117.0,134.0,74.0,14.0,37.0,184.0,73.0
IT,2016.0,0.0020361105912469184,-0.23334172902570982,1014.0,35.0,26.0,88.0,76.0,138.0,73.0,84.0,63.0,13.0,40.0,283.0,95.0
IT,2017.0,0.0237122425697996,-0.23829987139384468,1027.0,30.0,32.0,81.0,105.0,125.0,89.0,69.0,61.0,19.0,38.0,289.0,89.0
IT,2019.0,0.010222336524142773,-0.0421508899095107,1024.0,34.0,27.0,96.0,110.0,176.0,118.0,118.0,88.0,21.0,53.0,68.0,115.0
IT,2020.0,0.10936806129685922,-0.07380100624649583,1022.0,14.0,16.0,66.0,124.0,194.0,176.0,160.0,80.0,17.0,18.0,91.0,66.0
IT,2020.5,0.0787799010310385,-0.006007107048664251,1033.0,23.0,27.0,107.0,126.0,200.0,139.0,148.0,83.0,16.0,27.0,89.0,48.0
IT,2021.0,0.09461647575260025,-0.08266824965782252,1020.0,27.0,24.0,75.0,135.0,170.0,145.0,140.0,86.0,15.0,35.0,116.0,52.0
IT,2021.5,0.08582458599490257,-0.09066741255414712,1019.0,29.0,18.0,75.0,133.0,176.0,154.0,151.0,65.0,13.0,23.0,117.0,65.0
IT,2022.0,0.10880127323638386,-0.0946982665507922,1028.0,29.0,16.0,87.0,135.0,159.0,170.0,141.0,78.0,13.0,28.0,115.0,57.0
IT,2023.0,0.07844412858625877,-0.10469103777027926,1047.0,21.0,23.0,78.0,125.0,181.0,134.0,150.0,86.0,15.0,33.0,137.0,64.0
IT,2024.5,0.10937412949191484,-0.08103332560070946,1036.0,34.0,18.0,57.0,118.0,188.0,168.0,130.0,111.0,31.0,35.0,103.0,43.0
IT,2025.0,0.13729541353776736,-0.06072832407727289,1026.0,24.0,15.0,62.0,123.0,205.0,170.0,156.0,93.0,27.0,36.0,89.0,26.0
LT,2007.0,-0.2641012661340665,-0.0994330159775885,1016.0,42.0,28.0,42.0,56.0,194.0,52.0,30.0,40.0,20.0,59.0,69.0,384.0
LT,2010.0,-0.2755784761940065,-0.1397694730937007,1025.0,52.0,34.0,43.0,32.0,196.0,37.0,30.0,36.0,11.0,46.0,118.0,390.0
LT,2012.0,-0.21994856059737297,-0.11573509633668985,1011.0,88.0,32.0,46.0,45.0,230.0,44.0,31.0,45.0,24.0,69.0,72.0,285.0
LT,2014.0,-0.252904436746247,-0.04362600527890525,1008.0,71.0,36.0,55.0,31.0,304.0,45.0,30.0,32.0,17.0,73.0,35.0,279.0
LT,2015.0,-0.23562692681887776,-0.06456048364970365,1012.0,62.0,37.0,56.0,33.0,271.0,56.0,37.0,34.0,22.0,84.0,36.0,284.0
LT,2016.0,-0.2219592484868441,-0.04149727244444999,1000.0,47.0,37.0,53.0,43.0,309.0,46.0,48.0,28.0,11.0,63.0,54.0,261.0
LT,2017.0,-0.22634390950102046,-0.09760016072603878,1003.0,36.0,28.0,45.0,31.0,271.0,57.0,34.0,43.0,15.0,90.0,71.0,282.0
LT,2019.0,-0.23826346203305745,-0.04242365809813259,1001.0,50.0,38.0,46.0,41.0,313.0,38.0,33.0,44.0,21.0,63.0,41.0,273.0
LT,2020.0,0.06360393712446837,0.18523659269437315,1042.0,30.0,26.0,50.0,78.0,396.0,167.0,101.0,84.0,35.0,55.0,2.0,18.0
LT,2020.5,0.07330087468201081,0.21013321457889694,1025.0,33.0,24.0,55.0,81.0,416.0,128.0,113.0,82.0,30.0,56.0,1.0,6.0
LT,2021.0,-0.20899635900607685,-0.03565761136534902,1004.0,56.0,31.0,52.0,58.0,283.0,45.0,49.0,44.0,23.0,48.0,42.0,273.0
LT,2021.5,-0.19483288355028458,-0.03552281508574216,1005.0,42.0,30.0,46.0,45.0,286.0,65.0,71.0,44.0,15.0,36.0,55.0,270.0
LT,2022.0,-0.18475123800760376,-0.05424954829998328,1004.0,52.0,44.0,67.0,47.0,248.0,57.0,56.0,50.0,19.0,37.0,64.0,263.0
LT,2023.0,-0.21114440349561095,-0.06954473527799224,1016.0,64.0,41.0,57.0,60.0,220.0,57.0,58.0,36.0,9.0,54.0,61.0,299.0
LT,2024.5,-0.21204499243621575,-0.051506902058200604,1018.0,34.0,19.0,43.0,46.0,232.0,100.0,59.0,56.0,24.0,33.0,57.0,315.0
LT,2025.0,-0.17379951441116817,-0.07407387587211396,1003.0,49.0,29.0,64.0,58.0,217.0,72.0,60.0,44.0,18.0,43.0,83.0,266.0
LU,2007.0,-0.11706516620073211,-0.02795950034720951,503.0,18.0,8.0,25.0,31.0,183.0,40.0,33.0,29.0,11.0,11.0,50.0,64.0
LU,2010.0,-0.11123134330525242,0.0024665659225460014,501.0,15.0,13.0,43.0,40.0,147.0,44.0,39.0,18.0,9.0,13.0,35.0,85.0
LU,2012.0,-0.01970530258523669,0.07593480959019626,504.0,25.0,12.0,51.0,54.0,163.0,55.0,44.0,26.0,4.0,14.0,15.0,41.0
LU,2014.0,-0.09730155643685735,0.011903349722961669,504.0,21.0,14.0,33.0,43.0,146.0,34.0,55.0,39.0,1.0,13.0,29.0,76.0
LU,2015.0,-0.14065269149140006,0.06255953043334721,502.0,15.0,10.0,46.0,43.0,169.0,25.0,44.0,22.0,11.0,8.0,18.0,91.0
LU,2016.0,-0.07201822297632805,0.009819383496765761,505.0,33.0,14.0,44.0,41.0,158.0,39.0,38.0,24.0,8.0,16.0,28.0,62.0
LU,2017.0,-0.12195184144092971,0.029193866121155623,506.0,15.0,18.0,43.0,43.0,167.0,47.0,26.0,15.0,5.0,10.0,56.0,61.0
LU,2019.0,-0.16086985938739617,0.023679700531755433,508.0,17.0,9.0,46.0,45.0,152.0,44.0,22.0,21.0,1.0,17.0,31.0,103.0
LU,2020.0,0.07291473575893935,0.19455049223368323,530.0,13.0,21.0,72.0,66.0,171.0,82.0,63.0,13.0,6.0,12.0,5.0,6.0
LU,2020.5,0.09401358578529018,0.13588102223225007,514.0,19.0,26.0,59.0,72.0,138.0,65.0,76.0,27.0,4.0,10.0,8.0,10.0
LU,2021.0,-0.05551153162436751,0.1296262893103052,506.0,9.0,14.0,49.0,62.0,200.0,46.0,29.0,28.0,3.0,8.0,21.0,37.0
LU,2021.5,-0.11349782176047662,0.1730060227121329,502.0,6.0,12.0,48.0,56.0,221.0,48.0,28.0,9.0,0.0,6.0,30.0,38.0
LU,2022.0,-0.07958465939377178,0.1473793512653022,508.0,11.0,13.0,57.0,75.0,195.0,39.0,26.0,15.0,6.0,5.0,28.0,38.0
LU,2023.0,-0.06815707619041242,0.11975953693313339,508.0,10.0,8.0,41.0,44.0,210.0,62.0,35.0,16.0,4.0,18.0,28.0,32.0
LU,2024.5,-0.04574893408410235,0.1446809032416414,509.0,8.0,25.0,41.0,60.0,197.0,56.0,40.0,18.0,4.0,8.0,12.0,40.0
LU,2025.0,-0.014546194030884136,0.15330511203083705,503.0,13.0,20.0,51.0,53.0,190.0,69.0,44.0,14.0,3.0,7.0,13.0,26.0
LV,2007.0,-0.1396630663495854,-0.06255262574279649,1005.0,19.0,14.0,43.0,49.0,228.0,123.0,89.0,83.0,32.0,50.0,59.0,216.0
LV,2010.0,-0.10576693034775711,-0.07209708990563744,999.0,18.0,17.0,39.0,49.0,262.0,109.0,94.0,79.0,35.0,47.0,83.0,167.0
LV,2012.0,-0.12261427392815501,-0.14262545315769581,1021.0,26.0,9.0,35.0,57.0,185.0,105.0,86.0,81.0,44.0,88.0,94.0,211.0
LV,2014.0,-0.1850169692314441,0.042256842171020645,1004.0,34.0,6.0,32.0,37.0,326.0,100.0,96.0,74.0,24.0,79.0,17.0,179.0
LV,2015.0,-0.1871588805101655,0.032270206591134755,1001.0,16.0,10.0,24.0,49.0,302.0,110.0,99.0,81.0,22.0,47.0,28.0,213.0
LV,2016.0,-0.17218603033352828,-0.016544550865079527,1000.0,26.0,14.0,32.0,33.0,280.0,118.0,97.0,86.0,15.0,72.0,27.0,200.0
